date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Dec%202016%2017:27:10%20GMT	http://api.randomuser.me/portraits/men/93.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/api.randomuser.me/portraits/men/93.jpg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:16	118458/118458	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/Slides/family-freeze.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/Slides/family-freeze.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:21	26421/26421	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/menu.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/menu.jpg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:22	57774/57774	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/profile.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/profile.jpg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:27	27995/27995	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/signup.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/signup.jpg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:28	43083/43083	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/weather.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/weather.jpg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:29	225709/225709	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/Slides/hand-freeze.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/Slides/hand-freeze.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:31	216045/216045	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/Slides/freeze-slide2.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/Slides/freeze-slide2.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:34	41942/41942	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/calendar.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/calendar.jpg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:35	43400/43400	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/options.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/options.jpg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
